time,temp_avg,temp_max,temp_min
22.92,612.34290052494,2695.8303927971,300.04431148899
22.98,611.94708610898,2697.5457812346,300.04383400785
23.04,611.54558969682,2698.4412601269,300.04336201443
23.1,611.13816965269,2700.3454847771,300.04289543267
23.16,610.72485268156,2701.9608953857,300.04243421545
23.22,610.30545073047,2702.4793582472,300.04197829661
23.28,609.87970573712,2704.9924338786,300.04152760326
23.34,609.44743175316,2706.5080549951,300.04108207105
23.4,609.00851429123,2707.4980876445,300.04064164403
23.46,608.56276833745,2709.773016423,300.04020626125
23.52,608.10978659346,2711.1888232776,300.03977584224
23.58,607.64941571662,2712.7908380683,300.03935033078
23.64,607.18156489021,2714.8111949235,300.03892967934
23.7,606.70572284205,2716.0016021513,300.03851380386
23.76,606.22154171571,2718.2194142376,300.03810263503
23.82,605.72890335097,2720.1357485193,300.03769612723
23.88,605.22734887942,2720.9366156531,300.03729420741
23.94,604.7163699068,2723.7710477745,300.03689679868
24,604.19563537953,2725.5761184659,300.03650384215
24.06,603.66471430864,2726.9055777013,300.03611527327
24.12,603.12307054014,2729.4230816274,300.03573102047
24.18,602.57006200788,2731.1064306596,300.03535100565
24.24,602.005211505,2733.0391449429,300.03497516672
24.3,601.42798349157,2735.305474069,300.03460344024
24.36,600.83748875449,2736.6888198848,300.03423573618
24.42,600.23303967062,2739.2131352748,300.03387198234
24.48,599.61409430561,2741.3308985746,300.03351212216
24.54,598.97968601336,2742.35192836,300.03315606813
24.6,598.32889030624,2745.3664090394,300.03280373674
24.66,597.66102384919,2747.3094583717,300.03245506628
24.72,596.97519587517,2748.8836536672,300.0321099816
24.78,596.27046247143,2751.4207336699,300.03176840389
24.84,595.54597858927,2753.1617074686,300.03143026299
24.9,594.80101453351,2755.2660530435,300.03109549829
24.96,594.03484123168,2757.5280595482,300.0307640495
25,593.51183201248,2758.5895764064,300.03054485099
24.99,593.64350484077,2758.4008832653,300.03059948788
24.9975,593.54483115262,2758.5477261987,300.0305584518
24.999375,593.52010793783,2758.5799089817,300.03054819975
24.99984375,593.51392368393,2758.5876710988,300.03054563721
25.0003125,468.83928271066,1090.8074223341,300.03051555863
25.00125,392.73655798999,625.08142915144,300.02974546172
25.003125,344.00442094105,431.210677908,300.0249449444
25.006875,315.7225527624,341.67152794589,300.01446617259
25.014375,303.64637025008,308.7750840232,300.00484531189
25.029375,300.48779764978,301.0860836459,300.00084637571
25.059375,300.03513037959,300.07381013553,300.00007367517
25.119375,300.00131379377,300.00265191519,300.00000308463
25.179375,300.00004917549,300.00009677848,300.00000013035
25.239375,300.00004917549,300.00009677848,300.00000013035
25.299375,300.00004917549,300.00009677848,300.00000013035
25.359375,300.00004917549,300.00009677848,300.00000013035
25.419375,300.00004917549,300.00009677848,300.00000013035
25.479375,300.00004917549,300.00009677848,300.00000013035
25.539375,300.00004917549,300.00009677848,300.00000013035
25.599375,300.00004917549,300.00009677848,300.00000013035
25.659375,300.00004917549,300.00009677848,300.00000013035
25.719375,300.00004917549,300.00009677848,300.00000013035
25.779375,300.00004917549,300.00009677848,300.00000013035
25.839375,300.00004917549,300.00009677848,300.00000013035
25.899375,300.00004917549,300.00009677848,300.00000013035
25.959375,300.00004917549,300.00009677848,300.00000013035
26.019375,300.00004917549,300.00009677848,300.00000013035
26.079375,300.00004917549,300.00009677848,300.00000013035
26.139375,300.00004917549,300.00009677848,300.00000013035
26.199375,300.00004917549,300.00009677848,300.00000013035
26.259375,300.00004917549,300.00009677848,300.00000013035
26.319375,300.00004917549,300.00009677848,300.00000013035
26.379375,300.00004917549,300.00009677848,300.00000013035
26.439375,300.00004917549,300.00009677848,300.00000013035
26.499375,300.00004917549,300.00009677848,300.00000013035
26.559375,300.00004917549,300.00009677848,300.00000013035
26.619375,300.00004917549,300.00009677848,300.00000013035
26.679375,300.00004917549,300.00009677848,300.00000013035
26.739375,300.00004917549,300.00009677848,300.00000013035
26.799375,300.00004917549,300.00009677848,300.00000013035
26.859375,300.00004917549,300.00009677848,300.00000013035
26.919375,300.00004917549,300.00009677848,300.00000013035
26.979375,300.00004917549,300.00009677848,300.00000013035
27.039375,300.00004917549,300.00009677848,300.00000013035
27.099375,300.00004917549,300.00009677848,300.00000013035
27.159375,300.00004917549,300.00009677848,300.00000013035
27.219375,300.00004917549,300.00009677848,300.00000013035
27.279375,300.00004917549,300.00009677848,300.00000013035
27.339375,300.00004917549,300.00009677848,300.00000013035
27.399375,300.00004917549,300.00009677848,300.00000013035
27.459375,300.00004917549,300.00009677848,300.00000013035
27.519375,300.00004917549,300.00009677848,300.00000013035
27.579375,300.00004917549,300.00009677848,300.00000013035
27.639375,300.00004917549,300.00009677848,300.00000013035
27.699375,300.00004917549,300.00009677848,300.00000013035
27.759375,300.00004917549,300.00009677848,300.00000013035
27.819375,300.00004917549,300.00009677848,300.00000013035
27.879375,300.00004917549,300.00009677848,300.00000013035
27.939375,300.00004917549,300.00009677848,300.00000013035
27.999375,300.00004917549,300.00009677848,300.00000013035
28,300.00004917549,300.00009677848,300.00000013035
